Date,Description,Montant,Détails,Apparait sur votre relevé de compte sous,Adresse,Ville,Code postal,Pays,Référence
12/02/2021,AIR FRANCE,26.77,,"2 déc 3 déc AIR FRANCE PARAY-VIEILLE-P 26,77",,PARAY-VIEILLE-P,,,
12/24/2021,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-26.77,,"24 déc 24 déc PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 26,77",,,,,
01/05/2022,DECATHLON FR VILLENEUVE D'AS,549.00,,"5 jan 5 jan DECATHLON FR VILLENEUVE D'AS 549,00",,,,,
01/24/2022,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-549.00,,"24 jan 24 jan PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 549,00",,,,,
01/28/2022,OUISNCF EUROPE SUISSE S,37.00,,"28 jan 28 jan OUISNCF EUROPE SUISSE S PARIS 37,00",,PARIS,,,
01/28/2022,RYANAIR LTD AIRLINE,54.99,,"28 jan 31 jan RYANAIR LTD AIRLINE DUBLIN 54,99",,DUBLIN,,,
02/02/2022,EASYJET*EASYJET K2Z4NWC,33.49,,"2 fév 2 fév EASYJET*EASYJET K2Z4NWC LUTON 33,49",,LUTON,,,
02/02/2022,GOTOGATE_FR_LH2XQP,59.97,,"2 fév 2 fév GOTOGATE_FR_LH2XQP UPPSALA 59,97",,UPPSALA,,,
02/13/2022,AGODA.COM*AGODA.COM,64.84,,"13 fév 16 fév AGODA.COM*AGODA.COM LONDON 64,84",,LONDON,,,
02/24/2022,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-250.29,,"24 fév 24 fév PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 250,29",,,,,
02/21/2022,EASYJET*EASYJET K2XQ45J,18.99,,"21 fév 21 fév EASYJET*EASYJET K2XQ45J LUTON 18,99",,LUTON,,,
