Date,Description,Montant,Détails,Apparait sur votre relevé de compte sous,Adresse,Ville,Code postal,Pays,Référence
02/28/2026,WEBLOYALTY SARL         NYON,"21,00",,WEBLOYALTY SARL         NYON,"23 ROUTE DE CRASSIER
BUSINESS PARK TERRE BONNE
BATIMENT A3
EYSINS",,1262,SWITZERLAND,'AT260590046000010310089'
02/27/2026,"CURSOR, AI POWERED IDE  NEW YORK","21,14",,"CURSOR, AI POWERED IDE  NEW YORK","""2261 MARKET STREET, STE 86466""
SAN FRANCISCO",,94114,UNITED STATES,'AT260580075000010041356'
02/27/2026,TRIP.COM                INTERNET,"57,15",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT260590046000010296190'
02/24/2026,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,"-1089,33",,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,,,,,'10000000010221999603350'
02/21/2026,FNAC DIRECT FNAC DIRECT IVRY SUR SEINE,"0,01",,FNAC DIRECT FNAC DIRECT IVRY SUR SEINE,"9 RUE DES BATEAUX LAVOIRS
IVRY SUR SEINE",,94200,FRANCE,'AT260530036000010312249'
02/20/2026,VERSEMENT / COTISATION,"16,00",,VERSEMENT / COTISATION,,,,,'10000000011120999793740'
01/29/2026,WEBLOYALTY SARL         NYON,"21,00",,WEBLOYALTY SARL         NYON,"23 ROUTE DE CRASSIER
BUSINESS PARK TERRE BONNE
BATIMENT A3
EYSINS",,1262,SWITZERLAND,'AT260290045000010279412'
01/27/2026,TRIP.COM                INTERNET,"279,11",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT260270046000010262328'
01/26/2026,ALIPAY                  LUXEMBOURG,"15,49",,ALIPAY                  LUXEMBOURG,"ONE RAFFLES PLACE
#59-00
SINGAPORE",,048616,SINGAPORE,'AT260270046000010275652'
01/26/2026,FNAC DIRECT FNAC DIRECT IVRY SUR SEINE,"0,01",,FNAC DIRECT FNAC DIRECT IVRY SUR SEINE,"9 RUE DES BATEAUX LAVOIRS
IVRY SUR SEINE",,94200,FRANCE,'AT260260046000010267921'
01/26/2026,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,"-206,03",,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,,,,,'10000000010122999826480'
01/26/2026,TRIP.COM                INTERNET,"34,64",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT260260046000010265772'
01/26/2026,TRIP.COM                INTERNET,"287,46",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT260260046000010270923'
01/25/2026,AGODA*AGODA.COM ANIKA I LONDON,"113,27",,AGODA*AGODA.COM ANIKA I LONDON,"SUBMISSIONS EUR
NETHERLANDS",,0000 AA,NETHERLANDS,'AT260280046000010254552'
01/25/2026,CEBU AIR INC Cebu Air I PASAY CITY,"106,39","Trajet :    de        CEBU
à         BANGKOK DON MUEANGCompagnie:      5J  Classe :        V
N° du billet :  ZIYRHP                  Passager :      REMI Y FAUCOMPRET
Foreign Spend Amount: 7,199.00 peso philippin Commission Amount: 2,90 Currency Exchange Rate: 69.5622",CEBU AIR INC Cebu Air I PASAY CITY,"SUBMISSION :PHP
MANILA",,000000,PHILIPPINES,'AT260250045000010030527'
01/24/2026,TRIP.COM                INTERNET,"-39,04",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT260240034000010232293'
01/23/2026,AGODA*AGODA.COM ANIKA I LONDON,"54,83",,AGODA*AGODA.COM ANIKA I LONDON,"SUBMISSIONS EUR
NETHERLANDS",,0000 AA,NETHERLANDS,'AT260260046000010264971'
01/22/2026,AGODA*AGODA.COM ANIKA I LONDON,"61,48",,AGODA*AGODA.COM ANIKA I LONDON,"SUBMISSIONS EUR
NETHERLANDS",,0000 AA,NETHERLANDS,'AT260250037000010324796'
01/22/2026,AGODA*AGODA.COM ANIKA I LONDON,"105,71",,AGODA*AGODA.COM ANIKA I LONDON,"SUBMISSIONS EUR
NETHERLANDS",,0000 AA,NETHERLANDS,'AT260250037000010324797'
01/20/2026,TRIP.COM                INTERNET,"32,98",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT260210045000010258189'
01/20/2026,VERSEMENT / COTISATION,"16,00",,VERSEMENT / COTISATION,,,,,'10000000011120999793730'
01/19/2026,TRIP.COM                INTERNET,"203,96",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT260190048000010236459'
01/18/2026,TRIP.COM                INTERNET,"39,04",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT260180039000010308847'
01/16/2026,HOTEL ON BOOKING.COM    AMSTERDAM,"46,93","Foreign Spend Amount: 215.23 ringgit ou dollar malaysien Commission Amount: 1,28 Currency Exchange Rate: 4.7147",HOTEL ON BOOKING.COM    AMSTERDAM,"HERENGRACHT 597
AMSTERDAM",,1017 CE,NETHERLANDS,'AT260170032000010285250'
01/14/2026,TRIP.COM                INTERNET,"71,26",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT260140049000010257173'
01/12/2026,TRIP.COM                INTERNET,"46,20",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT260120047000010251864'
01/10/2026,AIRBNB * HMPMDWRKDS     LONDON,"178,64",,AIRBNB * HMPMDWRKDS     LONDON,"20-22 BEDFORD ROW
LONDON",,WC1R 4JS,UNITED KINGDOM,'AT260110036000010289490'
01/08/2026,TRIP.COM                INTERNET,"44,32",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT260080044000010240986'
01/07/2026,TRIP.COM                INTERNET,"347,18",,TRIP.COM                INTERNET,"UNIT 3003 30/F PAUL Y CENTRE
51 HUNG TO ROAD
KWUN TONG
KLN",,00000,CHINA,'AT260080044000010244892'
01/06/2026,HIPAY*SOBRICO COM AUFOR PARIS,"569,11",,HIPAY*SOBRICO COM AUFOR PARIS,"61 RUE DESNOUETTES
PARIS",,75015,FRANCE,'AT260070046000010241167'
